decade,word,tf
1550-1600,sheet,1
1550-1600,sich,1
1550-1600,sig,1
1550-1600,signatur,1
1550-1600,simon,1
1550-1600,simonem,1
1550-1600,singen,1
1550-1600,sinist,1
1550-1600,sixtu,3
1550-1600,sixtvm,1
1550-1600,slip,1
1550-1600,smesmanni,1
1550-1600,smith,1
1550-1600,spi,1
1550-1600,ss,1
1550-1600,stadt,1
1550-1600,stamp,2
1550-1600,start,1
1550-1600,statt,3
1550-1600,stc,2
1550-1600,steel,1
1550-1600,stephani,1
1550-1600,stephanu,1
1550-1600,stephanv,1
1550-1600,sternlein,1
1550-1600,sthamilton,2
1550-1600,sticker,1
1550-1600,strassburg,2
1550-1600,sub,2
1550-1600,support,1
1550-1600,sutherland,2
1550-1600,sva,1
1550-1600,syr,1
1550-1600,taken,3
1550-1600,tel,1
1550-1600,text,5
1550-1600,third,1
1550-1600,tho,1
1550-1600,thoma,3
1550-1600,thon,1
1550-1600,three,1
1550-1600,thu,1
1550-1600,titl,22
1550-1600,titlepag,3
1550-1600,transliter,1
1550-1600,two,1
1550-1600,twysden,1
1550-1600,typi,1
1550-1600,typographeio,1
1550-1600,typographia,1
1550-1600,typographum,1
1550-1600,typographv,1
1550-1600,um,1
1550-1600,und,2
1550-1600,unintellig,1
1550-1600,valentin,2
1550-1600,valentini,1
1550-1600,vellum,1
1550-1600,venic,1
1550-1600,verantwortung,1
1550-1600,verlegung,1
1550-1600,verso,3
1550-1600,vico,1
1550-1600,viii,6
1550-1600,vincent,1
1550-1600,vincenti,1
1550-1600,vincentio,1
1550-1600,vlrich,2
1550-1600,vnd,4
1550-1600,vnnd,1
1550-1600,vnuerzagt,1
1550-1600,vol,1
1550-1600,volum,7
1550-1600,vom,1
1550-1600,von,6
1550-1600,vor,1
1550-1600,vorlageform,2
1550-1600,vrban,1
1550-1600,vrint,1
1550-1600,vviteberga,1
1550-1600,waiss,1
1550-1600,want,1
1550-1600,warhafftig,1
1550-1600,wechelum,1
1550-1600,werdt,1
1550-1600,widerfaren,1
1550-1600,wohl,1
1550-1600,wolff,1
1550-1600,wonhafftig,1
1550-1600,woodcut,13
1550-1600,wort,1
1550-1600,xcii,1
1550-1600,xiii,1
1550-1600,xvii,1
1550-1600,zart,1
1550-1600,zeiten,1
1550-1600,zu,15
1550-1600,zur,1
1550-1600,zwischentitelbl,1
1600-1650,abbat,1
1600-1650,abbey,2
1600-1650,aberdeen,1
1600-1650,academia,1
1600-1650,actual,3
1600-1650,ad,2
1600-1650,addit,1
1600-1650,address,1
1600-1650,al,1
1600-1650,aldi,4
1600-1650,aldobrandini,1
1600-1650,alessandro,1
1600-1650,alexr,1
1600-1650,also,1
1600-1650,alva,2
1600-1650,amongst,1
1600-1650,amsterdami,1
1600-1650,angel,1
1600-1650,angelo,1
1600-1650,animadversion,1
1600-1650,anno,4
1600-1650,annot,1
1600-1650,anoth,2
1600-1650,apollini,1
1600-1650,apud,4
1600-1650,apvd,1
1600-1650,arch,1
